name,calories,dietary,type,portion,image,prep_time,ingredients,instructions,protein,carbs,fat
Chapati with Dal,220,Vegetarian,Lunch,"2 chapati, 1 bowl dal",/static/images/daal.jpg,25 min,"Wheat flour (100g), Water, Salt, Arhar dal (50g), Turmeric, Ghee","Knead 2 cups wheat flour with salt and water to form soft dough; rest 15 minutes.

Cook 1 cup toor dal with 1/4 tsp turmeric and salt till soft.

Heat 1 tbsp ghee; add 1 tsp mustard seeds, curry leaves, and dried red chili for tempering. Pour over dal.

Roll chapatis and cook on hot tava until brown spots appear on both sides.

Serve chapatis hot with the dal.",8,34,4
Paneer Tikka,310,Vegetarian,Dinner,8 pieces,/static/images/paneertikka.jpg,35 min,"Paneer (200g), Yogurt, Ginger-garlic paste, Tandoori masala, Lemon juice, Bell peppers, Onion","1. Cut paneer into cubes. 2. Marinate with yogurt, spices, lemon juice for 30 mins. 3. Skewer with bell peppers and onion. 4. Grill till golden. Serve hot.",16,12,18
Rajma Chawal,380,Vegetarian,Lunch,"1 cup rice, 1 bowl rajma",/static/images/rajma chawal.jpg,40 min,"Red kidney beans (100g), Rice (100g), Onion, Tomato, Ginger-garlic paste, Cumin, Coriander powder, Garam masala","1. Soak rajma overnight, pressure cook till soft. 2. Prepare tadka with cumin, onion, tomato, spices. 3. Add cooked rajma, simmer. 4. Cook rice separately. Serve together.",12,65,5
Aloo Gobi,180,Vegetarian,Dinner,1 bowl,/static/images/aloogobhi.jpeg,30 min,"Potato (200g), Cauliflower (200g), Turmeric, Cumin, Coriander powder, Garam masala, Oil","Cut 2 medium potatoes and 1 medium cauliflower into medium pieces.

Heat 2 tbsp oil in pan; add 1 tsp cumin seeds until they splutter.

Add 1/2 tsp turmeric, 1 tsp coriander powder, 1 tsp red chili powder, and salt to taste.

Add chopped potatoes and cauliflower, mix well.

Cover and cook on low-medium heat 15-20 minutes, stirring occasionally.

Garnish with fresh coriander and serve hot.",4,28,6
Palak Paneer,280,Vegetarian,Dinner,1 bowl with 2 roti,/static/images/palakpaneer.jpg,35 min,"Spinach (250g), Paneer (150g), Onion, Tomato, Cream, Ginger-garlic paste, Spices","1. Blanch spinach, make puree. 2. Saute onion, tomato, spices. 3. Add spinach puree, simmer. 4. Add paneer cubes and cream. Serve with roti.",14,18,16
Chole Bhature,450,Vegetarian,Lunch,"2 bhature, 1 bowl chole",/static/images/chole-bhature-classic-indian-dish.jpg,50 min,"Chickpeas (100g), Flour (150g), Yogurt, Onion, Tomato, Chole masala, Oil","Soak 1 cup chickpeas overnight; pressure cook till soft.

Sauté 2 chopped onions and 2 crushed tomatoes with chole masala, turmeric, coriander powder, and salt.

Add cooked chickpeas, simmer for 20 mins.

Prepare bhature dough using 2 cups all-purpose flour, yogurt, salt, and water; rest 2 hours.

Roll into circles and deep fry till puffed and golden.

Serve hot bhature with chole.",15,68,18
Veg Biryani,350,Vegetarian,Lunch,1 plate,/static/images/biryani.jpg,45 min,"Basmati rice (100g), Mixed vegetables (200g), Yogurt, Biryani masala, Fried onions, Mint","2 cup basmati rice wash kar ke 30 mins ke liye bhigo dein.

2 tbsp ghee mein 1 bay leaf, 2 tej patta, 2 elaichi, 1 dalchini, 4 cloves daal kar bhuno.

1 chopped onion, 1 tbsp ginger-garlic paste add karein, translucent hone tak bhuno.

1/2 cup chopped mixed vegetables (gajar, phoolgobhi, matar), 1/2 tsp turmeric, 1 tsp garam masala, salt.

1/4 cup yogurt dalein; mix karen.

1.5 cup paani dalein, rice add karein, aur 70% pakne tak cook karen.

Rice ko layers mein rakhkar dum pe rakh dein 20 mins ke liye.

Garama garam serve karein.",8,58,10
Masala Dosa,280,Vegetarian,Breakfast,1 dosa with chutney,/static/images/masal dosa.jpg,30 min,"Rice (100g), Urad dal (50g), Potato (150g), Onion, Mustard seeds, Curry leaves, Turmeric","Soak 2 cups rice and 1/2 cup urad dal; grind and ferment overnight.

Prepare spiced potato filling by sautéing boiled potatoes with mustard seeds, turmeric, chilies, and curry leaves.

Spread dosa batter thin on hot tava; add filling and fold.

Serve with sambhar and coconut chutney.

",6,48,8
Idli Sambhar,200,Vegetarian,Breakfast,"3 idlis, 1 bowl sambhar",/static/images/idli sambhar.jpeg,25 min,"Rice (100g), Urad dal (50g), Arhar dal (40g), Vegetables, Tamarind, Sambhar masala","Soak 1 cup rice and 1/2 cup urad dal separately overnight; grind and ferment batter 8-10 hours.

Pour batter into greased idli molds; steam for 10-15 minutes.

Prepare sambhar with cooked toor dal, tamarind extract, mixed vegetables, and sambhar powder.

Serve idlis hot with sambhar and coconut chutney.

",7,38,3
Vegetable Pulao,280,Vegetarian,Lunch,1 plate,/static/images/veg pulao.jpg,30 min,"Basmati rice (100g), Mixed vegetables (150g), Ghee, Whole spices (bay leaf, cinnamon, cardamom), Salt","Rinse 1 cup basmati rice; soak 20 mins.

Heat 2 tbsp oil; add whole spices (bay leaf, cinnamon, cardamom).

Add chopped vegetables (carrots, beans, peas). Sauté 5 mins.

Add rice, salt, water (1.5 cups). Cook covered till rice done.

Garnish with fried onions and mint.",6,52,7
Aloo Paratha,180,Vegetarian,Breakfast,1 serving,/static/images/aloo paratha.jpg,20 min,"Various vegetables, spices, flour/rice as needed","Boil 3 medium potatoes, peel and mash.

Add 2 chopped green chilies, 1/4 cup chopped coriander, 1 tsp garam masala, and salt to taste. Mix well.

Prepare wheat dough with 2 cups wheat flour, water, and pinch of salt; rest 10 minutes.

Divide dough into balls, stuff with potato mixture, roll into flat circles.

Cook paratha on hot tava with ghee/butter on both sides till golden.

Serve hot with yogurt or pickle.

",6,30,5
